date,open,high,low,close,volume,factor
2002-07-26,41.4161,41.4812,41.2908,41.3359,10000,1
2002-07-29,41.1105,41.1606,40.7397,40.7898,10000,1
2002-07-30,40.9552,41.0303,40.8399,40.8399,10000,1
2002-07-31,41.0554,41.4812,41.0303,41.3459,10000,1
2002-08-01,41.3509,41.5914,41.3509,41.5814,10000,1
2002-08-02,41.6615,42.1325,41.5213,42.0072,10000,1
2002-08-05,42.1024,42.3028,42.0072,42.1926,10000,1
2002-08-06,41.9822,42.0323,41.6916,41.8319,10000,1
2002-08-07,41.882,42.1525,41.7617,41.9321,10000,1
2002-08-08,41.8719,41.9671,41.7617,41.9321,10000,1
2002-08-09,42.0824,42.5232,42.0824,42.5232,10000,1
2002-08-12,42.7336,43.435,42.6535,42.7837,10000,1
2002-08-13,42.9741,43.3198,42.7687,43.3098,10000,1
2002-08-14,43.8158,44.0362,43.4601,43.4751,10000,1
2002-08-15,43.2747,43.3348,43.0092,43.0943,10000,1
2002-08-16,43.3048,43.3448,42.4932,42.6134,10000,1
2002-08-19,42.6084,42.7537,42.4381,42.7437,10000,1
2002-08-20,42.8939,43.2296,42.8839,43.2196,10000,1
2002-08-21,42.924,43.1344,42.899,42.9891,10000,1
2002-08-22,42.8589,42.8589,42.6134,42.6134,10000,1
2002-08-23,42.6835,43.0593,42.6835,43.0342,10000,1
2002-08-26,42.934,43.1895,42.919,43.0743,10000,1
2002-08-27,42.7837,42.924,42.6835,42.8038,10000,1
2002-08-28,43.1044,43.1745,43.0042,43.0192,10000,1
2002-08-29,43.4651,43.5152,43.2597,43.3649,10000,1
2002-08-30,43.4601,43.6504,43.3098,43.6254,10000,1
2002-09-03,43.8129,44.2959,43.7726,44.2959,10000,1
2002-09-04,44.2908,44.4267,44.1952,44.2858,10000,1
2002-09-05,44.5625,44.6028,43.9638,44.5273,10000,1
2002-09-06,44.2606,44.3713,43.8732,44.004,10000,1
2002-09-09,44.0242,44.1902,43.9034,43.9386,10000,1
2002-09-10,43.8581,44.2757,43.7726,44.15,10000,1
2002-09-11,43.7726,43.9235,43.6468,43.9185,10000,1
2002-09-12,44.0141,44.3462,44.0091,44.2606,10000,1
2002-09-13,44.4418,44.7487,44.3663,44.6682,10000,1
2002-09-16,44.8795,44.8896,44.7286,44.7437,10000,1
2002-09-17,44.5977,44.9399,44.4569,44.8292,10000,1
2002-09-18,45.0103,45.0606,44.7889,44.8392,10000,1
2002-09-19,45.1311,45.1663,44.9097,45.1411,10000,1
